AccessionId	CDC	Pango	Collected	Country
ERR7418711		B.1.36	6/11/2020	Saudi Arabia
ERR7418721		B.1.36	6/11/2020	Saudi Arabia
ERR7418725		B.1.36	6/13/2020	Saudi Arabia
ERR7418781		B.1.1	6/5/2020	Saudi Arabia
ERR7418850		B.1	6/30/2020	Saudi Arabia
ERR7418854		B.1.398	6/30/2020	Saudi Arabia
ERR7418856		B.1	6/30/2020	Saudi Arabia
ERR7418858		B.1	6/30/2020	Saudi Arabia
ERR7418878		B.1.1	6/30/2020	Saudi Arabia
ERR7418890		B.1	6/4/2020	Saudi Arabia
ERR7418898		B.1	6/4/2020	Saudi Arabia
ERR7418965		B.1	4/13/2020	Saudi Arabia
ERR7454078	Delta	AY.9.2	11/12/2021	Greece
ERR7454101	Delta	AY.125	11/12/2021	Greece
ERR7454109	Delta	AY.4	11/12/2021	Greece
ERR7454157	Delta	AY.122	11/13/2021	Greece
ERR7454174	Delta	AY.43	11/12/2021	Greece
ERR7461073		B.1.36.21	12/13/2020	Norway
ERR7463127		B.1	12/5/2020	Norway
ERR7470653	Delta	AY.4	11/8/2021	United Kingdom
ERR7470670	Delta	B.1.617.2	11/8/2021	United Kingdom
ERR7470700	Delta	AY.127	11/8/2021	United Kingdom
ERR7470724	Delta	AY.5	11/8/2021	United Kingdom
ERR7470727	Delta	AY.102	11/8/2021	United Kingdom
ERR7470735	Delta	AY.4.2	11/8/2021	United Kingdom
ERR7470746			11/8/2021	United Kingdom
ERR7470758	Delta	AY.121	11/8/2021	United Kingdom
ERR7470988	Delta	B.1.617.2	11/8/2021	United Kingdom
ERR7471608	Delta	B.1.617.2	11/8/2021	United Kingdom
ERR7471731	Delta	B.1.617.2	11/8/2021	United Kingdom
ERR7472859		B.1.177.80	1/10/2021	Norway
ERR7481746	Delta	AY.4.2.4	11/8/2021	United Kingdom
ERR7482287	Delta	AY.4.2	11/8/2021	United Kingdom
ERR7500399	Delta	AY.6	11/11/2021	Slovakia
ERR7500403	Delta	AY.6	11/11/2021	Slovakia
ERR7598375	Alpha	B.1.1.7	2/11/2021	Norway
ERR7598414		B.1.1	2/11/2021	Norway
ERR7598432		B.1.1	2/12/2021	Norway
ERR7598434		B.1.177	2/11/2021	Norway
ERR7598436	Alpha	B.1.1.7	2/12/2021	Norway
ERR7598438		B.1.177	1/9/2021	Norway
ERR7599966	Delta	AY.4	12/2/2021	United Kingdom
ERR7608579			12/1/2021	United Kingdom
ERR7617232		B.1.367	10/1/2020	Norway
ERR7648599	Delta	AY.5	11/30/2021	United Kingdom
ERR7648725	Delta	AY.43	11/30/2021	United Kingdom
ERR7648743	Delta	AY.9.2	11/30/2021	United Kingdom
ERR7648769	Delta	AY.4.2	11/30/2021	United Kingdom
ERR7648823	Delta	AY.46	11/30/2021	United Kingdom
ERR7648846	Delta	AY.112	11/30/2021	United Kingdom
ERR7648873	Delta	AY.98	11/30/2021	United Kingdom
ERR7648892	Delta	AY.46	11/30/2021	United Kingdom
ERR7648938	Delta	B.1.617.2	11/30/2021	United Kingdom
ERR7648951	Delta	AY.102	11/30/2021	United Kingdom
ERR7648959	Delta	AY.112	11/30/2021	United Kingdom
ERR7648999	Delta	B.1.617.2	11/30/2021	United Kingdom
ERR7649018	Omicron	BA.1	11/30/2021	United Kingdom
ERR7649043	Delta	AY.126	11/30/2021	United Kingdom
ERR7649096	Delta	AY.98	11/30/2021	United Kingdom
ERR7649105	Delta	AY.92	11/30/2021	United Kingdom
ERR7649138	Delta	AY.112	11/30/2021	United Kingdom
ERR7649188	Delta	AY.122	11/30/2021	United Kingdom
ERR7649283			11/30/2021	United Kingdom
ERR7649296	Delta	AY.126	11/30/2021	United Kingdom
ERR7649313	Delta	AY.112	11/30/2021	United Kingdom
ERR7657694	Delta	AY.4.2	11/30/2021	United Kingdom
ERR7657696	Delta	AY.4.2	11/30/2021	United Kingdom
ERR7657699	Delta	AY.122	11/30/2021	United Kingdom
ERR7657703			11/30/2021	United Kingdom
ERR7657705	Delta	AY.4	11/30/2021	United Kingdom
ERR7657709	Delta	AY.4	11/30/2021	United Kingdom
ERR7657720	Delta	B.1.617.2	11/30/2021	United Kingdom
ERR7657722	Delta	AY.4.2.2	11/30/2021	United Kingdom
ERR7657724	Delta	AY.4	11/30/2021	United Kingdom
ERR7657758	Delta	AY.4.2.3	11/30/2021	United Kingdom
ERR7657763			11/30/2021	United Kingdom
ERR7657765	Delta	AY.125	11/30/2021	United Kingdom
ERR7657769	Delta	AY.5	11/30/2021	United Kingdom
ERR7657776	Delta	AY.121	11/30/2021	United Kingdom
ERR7657782	Delta	AY.98	11/30/2021	United Kingdom
ERR7657792	Delta	B.1.617.2	11/30/2021	United Kingdom
ERR7661387	Delta	AY.4.2	12/2/2021	United Kingdom
ERR7661389	Delta	AY.43	12/2/2021	United Kingdom
ERR7661401	Delta	AY.4.2	12/2/2021	United Kingdom
ERR7661403	Delta	AY.102	12/2/2021	United Kingdom
ERR7661415	Delta	AY.112	12/2/2021	United Kingdom
ERR7661417	Delta	AY.4	12/2/2021	United Kingdom
ERR7661418	Delta	AY.119	12/2/2021	United Kingdom
ERR7661429	Delta	B.1.617.2	12/2/2021	United Kingdom
ERR7661431	Delta	AY.98	12/2/2021	United Kingdom
ERR7663720	Delta	B.1.617.2	12/3/2021	United Kingdom
ERR7665205	Delta	AY.122	12/1/2021	United Kingdom
ERR7665343	Delta	B.1.617.2	12/1/2021	United Kingdom
ERR7665351	Delta	AY.102	12/1/2021	United Kingdom
ERR7665354	Delta	AY.4.2.2	12/1/2021	United Kingdom
ERR7665431	Delta	AY.33	12/1/2021	United Kingdom
ERR7665482	Delta	AY.122	12/1/2021	United Kingdom
ERR7665498	Delta	AY.4	12/1/2021	United Kingdom
ERR7665638	Delta	AY.120	12/1/2021	United Kingdom
ERR7665676	Delta	AY.98	12/1/2021	United Kingdom
ERR7665701	Delta	AY.43	12/1/2021	United Kingdom
ERR7665708	Delta	AY.4.2	12/1/2021	United Kingdom
ERR7665732	Delta	B.1.617.2	12/1/2021	United Kingdom
ERR7665752			12/1/2021	United Kingdom
ERR7665756	Delta	AY.6	12/1/2021	United Kingdom
ERR7665787			12/1/2021	United Kingdom
ERR7665825	Delta	B.1.617.2	12/1/2021	United Kingdom
ERR7665853	Delta	B.1.617.2	12/1/2021	United Kingdom
ERR7665856	Delta	AY.5	12/1/2021	United Kingdom
ERR7665863	Delta	AY.4.2.3	12/1/2021	United Kingdom
ERR7665886	Delta	B.1.617.2	12/1/2021	United Kingdom
ERR7667640	Delta	AY.4.2.3	12/3/2021	United Kingdom
ERR7667897	Delta	AY.4.2	12/3/2021	United Kingdom
ERR7667902	Delta	AY.122	12/3/2021	United Kingdom
ERR7667944	Delta	AY.4	12/3/2021	United Kingdom
ERR7667962	Delta	B.1.617.2	12/3/2021	United Kingdom
ERR7667985	Delta	AY.125	12/3/2021	United Kingdom
ERR7668015	Delta	AY.5	12/3/2021	United Kingdom
ERR7668023			12/3/2021	United Kingdom
ERR7668034	Delta	AY.4	12/3/2021	United Kingdom
ERR7668052	Delta	AY.36	12/3/2021	United Kingdom
ERR7671696	Delta	AY.20.1	11/11/2021	Slovakia
ERR7675702	Delta	AY.122	12/4/2021	United Kingdom
ERR7675718	Delta	AY.4	12/4/2021	United Kingdom
ERR7675720	Delta	B.1.617.2	12/4/2021	United Kingdom
ERR7675729	Delta	AY.34.1	12/4/2021	United Kingdom
ERR7675765	Delta	AY.4.2.4	12/4/2021	United Kingdom
ERR7675769	Delta	B.1.617.2	12/4/2021	United Kingdom
ERR7678153	Delta	AY.98	12/5/2021	United Kingdom
ERR7678276			12/5/2021	United Kingdom
ERR7678372	Delta	AY.98	12/5/2021	United Kingdom
ERR7679390	Delta	AY.121	12/5/2021	United Kingdom
ERR7679619	Delta	AY.4	12/5/2021	United Kingdom
ERR7708459	Delta	AY.4	9/13/2021	United Kingdom
ERR7711294	Delta	AY.4	9/7/2021	United Kingdom
ERR8571758	Delta	AY.43	1/12/2022	Switzerland
ERR8571760	Omicron	BA.1.1	1/12/2022	Switzerland
ERR8571772	Omicron	BA.1.1	1/12/2022	Switzerland
ERR8571775	Omicron	BA.1	1/11/2022	Switzerland
ERR8571778	Omicron	BA.1	1/11/2022	Switzerland
ERR8571788	Omicron	BA.1.1	1/11/2022	Switzerland
ERR8571790	Omicron	BA.1	1/10/2022	Switzerland
ERR8571791	Omicron	BA.1.1	1/11/2022	Switzerland
ERR8571799	Omicron	BA.1.1	1/8/2022	Switzerland
ERR8571805	Omicron	BA.1	1/7/2022	Switzerland
ERR8571808	Omicron	BA.1	1/8/2022	Switzerland
ERR8571816	Omicron	BA.1.1	1/11/2022	Switzerland
ERR8571821	Omicron	BA.1.1	1/12/2022	Switzerland
ERR8571824	Delta	AY.121	1/10/2022	Switzerland
ERR8571837	Omicron	BA.1.1	1/11/2022	Switzerland
ERR8571888	Omicron	BA.1	1/9/2022	Switzerland
ERR8571916	Omicron	BA.1.1	1/8/2022	Switzerland
ERR8571919	Delta	AY.63	9/2/2021	Norway
ERR8571922	Delta	AY.33	8/30/2021	Norway
ERR8571932	Omicron	BA.1.1	1/8/2022	Switzerland
ERR8571934	Delta	AY.116	9/2/2021	Norway
ERR8571940	Delta	AY.4	9/3/2021	Norway
ERR8571941	Omicron	BA.1	1/9/2022	Switzerland
ERR8571955	Delta	AY.122	8/30/2021	Norway
ERR8571959	Delta	AY.43	9/2/2021	Norway
ERR8571961	Delta	AY.98.1	8/30/2021	Norway
ERR8571965	Delta	AY.46	9/2/2021	Norway
ERR8571966	Delta	AY.122	9/2/2021	Norway
ERR8571976	Delta	AY.122	8/30/2021	Norway
ERR8571984	Delta	AY.33	8/30/2021	Norway
ERR8571989	Delta	AY.4	9/6/2021	Norway
ERR8571992	Delta	AY.122	8/30/2021	Norway
ERR8571995	Delta	AY.121	9/2/2021	Norway
ERR8572003	Alpha	B.1.1.7	6/30/2021	Norway
ERR8572009	Delta	AY.63	9/1/2021	Norway
ERR8572012	Delta	AY.63	9/6/2021	Norway
ERR8572013	Delta	AY.33	9/3/2021	Norway
ERR8572014	Delta	AY.4	1/9/2022	Switzerland
ERR8572019	Delta	AY.43	9/6/2021	Norway
ERR8572020	Delta	AY.9.2	9/3/2021	Norway
ERR8572022	Omicron	BA.1	1/8/2022	Switzerland
ERR8572040	Delta	AY.33	9/1/2021	Norway
ERR8572041	Delta	AY.121	9/6/2021	Norway
ERR8572049	Delta	AY.4	8/30/2021	Norway
ERR8572062	Delta	AY.98.1	9/3/2021	Norway
ERR8572078	Delta	AY.98.1	8/30/2021	Norway
ERR8572079	Delta	AY.122	9/3/2021	Norway
ERR8572106	Delta	AY.116	9/5/2021	Norway
ERR8572115	Delta	AY.4.5	9/1/2021	Norway
ERR8572116	Delta	AY.98.1	8/30/2021	Norway
ERR8572119	Delta	AY.9.2	9/3/2021	Norway
ERR8572124	Delta	AY.4.5	9/1/2021	Norway
ERR8572130	Delta	AY.98.1	9/2/2021	Norway
ERR8572135	Delta	AY.122	9/1/2021	Norway
ERR8572156	Omicron	BA.1.1	12/30/2021	Switzerland
ERR8572166	Delta	AY.43	9/2/2021	Norway
ERR8572169	Delta	AY.43	12/30/2021	Switzerland
ERR8572188	Delta	AY.43	9/5/2021	Norway
ERR8572191	Delta	AY.122	12/30/2021	Switzerland
ERR8572208	Delta	AY.122	9/2/2021	Norway
ERR8572212	Delta	AY.63	8/30/2021	Norway
ERR8572215	Delta	AY.116	8/30/2021	Norway
ERR8572216	Delta	AY.116	9/5/2021	Norway
ERR8572221	Delta	B.1.617.2	9/5/2021	Norway
ERR8572224	Delta	AY.43	9/4/2021	Norway
ERR8572456	Omicron	BA.1	1/5/2022	Switzerland
ERR8572460	Omicron	BA.1.1	1/5/2022	Switzerland
ERR8572519	Omicron	BA.1.1	1/5/2022	Switzerland
ERR8572548	Omicron	BA.1.1	1/4/2022	Switzerland
ERR8572550	Omicron	BA.1.1	1/5/2022	Switzerland
ERR8572557	Omicron	BA.1.1	1/5/2022	Switzerland
ERR8572563	Delta	B.1.617.2	1/3/2022	Switzerland
ERR8572572	Omicron	BA.1	1/4/2022	Switzerland
ERR8572573	Omicron	BA.1.1	1/4/2022	Switzerland
ERR8572581	Omicron	BA.1	1/2/2022	Switzerland
ERR8572586	Omicron	BA.1	1/2/2022	Switzerland
ERR8572590	Delta	AY.98.1	1/2/2022	Switzerland
ERR8572593	Omicron	BA.1.1	1/2/2022	Switzerland
ERR8572611	Omicron	BA.1	1/1/2022	Switzerland
ERR8572612	Omicron	BA.1	1/1/2022	Switzerland
ERR8572613	Omicron	BA.1.1	1/2/2022	Switzerland
ERR8572643	Delta	B.1.617.2	12/13/2021	Switzerland
ERR8572645	Delta	AY.43	12/13/2021	Switzerland
ERR8572651	Delta	AY.129	12/13/2021	Switzerland
ERR8572654	Delta	AY.42	12/13/2021	Switzerland
ERR8572661	Delta	AY.126	12/13/2021	Switzerland
ERR8572664	Delta	AY.4	12/13/2021	Switzerland
ERR8572669	Delta	AY.4	12/13/2021	Switzerland
ERR8572670	Delta	AY.127	12/13/2021	Switzerland
ERR8572674	Delta	AY.126	12/13/2021	Switzerland
ERR8572675	Delta	AY.126	12/12/2021	Switzerland
ERR8572677	Delta	AY.122	12/12/2021	Switzerland
ERR8572679	Delta	B.1.617.2	12/12/2021	Switzerland
ERR8572681	Delta	B.1.617.2	12/11/2021	Switzerland
ERR8572686	Delta	AY.121.1	1/4/2022	Portugal
ERR8572706	Omicron	BA.2	1/30/2022	Portugal
ERR8572707	Omicron	BA.1.1	1/30/2022	Portugal
ERR8572708	Omicron	BA.1	1/30/2022	Portugal
ERR8572709	Omicron	BA.1	1/30/2022	Portugal
ERR8572723	Omicron	BA.1	1/30/2022	Portugal
ERR8572754	Omicron	BA.1	1/30/2022	Portugal
ERR8572762	Omicron	BA.2	2/1/2022	Portugal
ERR8572767	Omicron	BA.1	2/1/2022	Portugal
ERR8572768	Omicron	BA.1	1/30/2022	Portugal
ERR8572779	Omicron	BA.1.1	2/1/2022	Portugal
ERR8572784	Omicron	BA.1.1	1/30/2022	Portugal
ERR8572793	Omicron	BA.1	2/1/2022	Portugal
ERR8572812	Omicron	BA.1.1	1/30/2022	Portugal
ERR8572831	Omicron	BA.1	2/1/2022	Portugal
ERR8572833	Omicron	BA.1	1/30/2022	Portugal
ERR8572834	Omicron	BA.1.1	1/30/2022	Portugal
ERR8572843	Omicron	BA.2	1/30/2022	Portugal
ERR8572846	Omicron	BA.2	1/30/2022	Portugal
ERR8572853	Omicron	BA.1	2/1/2022	Portugal
ERR8572854	Omicron	BA.1	2/1/2022	Portugal
ERR8572855	Omicron	BA.1	2/1/2022	Portugal
ERR8572860	Omicron	BA.1	1/30/2022	Portugal
ERR8572868	Omicron	BA.1.1	1/30/2022	Portugal
ERR8572869	Omicron	BA.1.1	1/30/2022	Portugal
ERR8572871	Omicron	BA.2	1/30/2022	Portugal
ERR8572878	Omicron	BA.1	2/1/2022	Portugal
ERR8572888	Omicron	BA.1	1/30/2022	Portugal
ERR8572896	Omicron	BA.1	1/30/2022	Portugal
ERR8572900	Omicron	BA.1	1/30/2022	Portugal
ERR8572901	Omicron	BA.1	1/30/2022	Portugal
ERR8572927	Omicron	BA.1	2/1/2022	Portugal
ERR8572931	Omicron	BA.1	2/1/2022	Portugal
ERR8572932	Omicron	BA.1	1/30/2022	Portugal
ERR8572933	Omicron	BA.1	1/30/2022	Portugal
ERR8572934	Omicron	BA.1.1	1/30/2022	Portugal
ERR8572942	Omicron	BA.1.1	2/1/2022	Portugal
ERR8572943	Omicron	BA.2	2/1/2022	Portugal
ERR8572945	Omicron	BA.1	1/30/2022	Portugal
ERR8572949	Omicron	BA.1	1/30/2022	Portugal
ERR8572955	Omicron	BA.1	2/1/2022	Portugal
ERR8572960	Omicron	BA.1	1/30/2022	Portugal
ERR8572964	Omicron	BA.1	2/2/2022	Portugal
ERR8572967	Omicron	BA.1.1	1/30/2022	Portugal
ERR8572972	Omicron	BA.1	1/30/2022	Portugal
ERR8572974	Omicron	BA.1	1/30/2022	Portugal
ERR8572988	Omicron	BA.1.1	1/30/2022	Portugal
ERR8573005	Omicron	BA.1	1/30/2022	Portugal
ERR8573013	Omicron	BA.1	2/1/2022	Portugal
ERR8573017	Omicron	BA.1	1/30/2022	Portugal
ERR8573019	Omicron	BA.1	1/30/2022	Portugal
ERR8573022	Omicron	BA.1	1/30/2022	Portugal
ERR8573051	Omicron	BA.1	1/30/2022	Portugal
ERR8573060	Omicron	BA.1	1/30/2022	Portugal
ERR8573068	Omicron	BA.1	2/1/2022	Portugal
ERR8573069	Omicron	BA.1	2/1/2022	Portugal
ERR8573070	Omicron	BA.2	2/1/2022	Portugal
ERR8573089	Omicron	BA.1	2/1/2022	Portugal
ERR8573094	Omicron	BA.1	1/30/2022	Portugal
ERR8573103	Omicron	BA.1	2/1/2022	Portugal
ERR8573104	Omicron	BA.1.1	2/1/2022	Portugal
ERR8573113	Omicron	BA.1	1/30/2022	Portugal
ERR8573122	Omicron	BA.1	2/1/2022	Portugal
ERR8573128	Omicron	BA.1	1/30/2022	Portugal
ERR8573139	Omicron	BA.1	2/1/2022	Portugal
ERR8573142	Omicron	BA.1	1/30/2022	Portugal
ERR8573145	Omicron	BA.1	1/30/2022	Portugal
ERR8573146	Omicron	BA.1	1/30/2022	Portugal
ERR8573148	Omicron	BA.1	1/30/2022	Portugal
ERR8573150	Omicron	BA.1	1/30/2022	Portugal
ERR8573151	Omicron	BA.1	1/30/2022	Portugal
ERR8573157	Omicron	BA.1	1/30/2022	Portugal
ERR8573159	Omicron	BA.1	1/30/2022	Portugal
ERR8573161	Omicron	BA.1	1/30/2022	Portugal
ERR8573162	Omicron	BA.1	1/30/2022	Portugal
ERR8573163	Omicron	BA.1.1	1/30/2022	Portugal
ERR8573181	Omicron	BA.2	1/30/2022	Portugal
ERR8573188	Omicron	BA.1	1/30/2022	Portugal
ERR8573212	Omicron	BA.1	2/1/2022	Portugal
ERR8573213	Omicron	BA.2	2/1/2022	Portugal
ERR8573219	Delta	AY.102	12/10/2021	Switzerland
ERR8573220	Delta	AY.122	12/13/2021	Switzerland
ERR8573223	Delta	AY.46.6	12/11/2021	Switzerland
ERR8573227	Delta	AY.43	12/10/2021	Switzerland
ERR8573229	Delta	AY.46.6	12/11/2021	Switzerland
ERR8575358	Delta	AY.126	12/12/2021	Switzerland
ERR8576262	Delta	AY.122	12/9/2021	Switzerland
ERR8576268	Delta	AY.122	12/9/2021	Switzerland
ERR8576285	Delta	B.1.617.2	12/9/2021	Switzerland
ERR8576307	Delta	AY.4	12/6/2021	Switzerland
ERR8576310	Delta	AY.43	12/6/2021	Switzerland
ERR8576314	Delta	AY.122	12/7/2021	Switzerland
ERR8576321	Delta	B.1.617.2	12/6/2021	Switzerland
ERR8576348	Delta	AY.122	12/3/2021	Switzerland
ERR8576370	Delta	AY.126	12/2/2021	Switzerland
ERR8576377	Delta	B.1.617.2	12/2/2021	Switzerland
ERR8576380	Delta	B.1.617.2	12/2/2021	Switzerland
ERR8576381	Delta	AY.122	12/2/2021	Switzerland
ERR8576801	Delta	AY.122	12/1/2021	Switzerland
ERR8576863	Delta	AY.121	12/1/2021	Switzerland
ERR8576919	Delta	B.1.617.2	12/1/2021	Switzerland
ERR8576921	Delta	B.1.617.2	11/30/2021	Switzerland
ERR8576925	Delta	B.1.617.2	11/30/2021	Switzerland
ERR8576926	Delta	AY.122	11/30/2021	Switzerland
ERR8577022	Delta	AY.4	11/30/2021	Switzerland
ERR8577023	Delta	AY.122	11/30/2021	Switzerland
ERR8577412	Delta	AY.4	11/30/2021	Switzerland
ERR8577413	Delta	AY.122	11/30/2021	Switzerland
ERR8577426	Delta	AY.42	11/30/2021	Switzerland
SRR11059946		B	12/30/2019	China
SRR11059947		B	12/30/2019	China
SRR11397721		B.4	3/2/2020	Australia
SRR11454614		B	12/30/2019	China
SRR11494478		B.39	3/8/2020	Australia
SRR11494537		B	2/2/2020	Australia
SRR11494590		B	3/13/2020	Australia
SRR11494602		B.1	3/12/2020	Australia
SRR11494604		B.1	3/12/2020	Australia
SRR11494614		B.1	3/11/2020	Australia
SRR11494679		A	3/10/2020	Australia
SRR11494691		A	3/10/2020	Australia
SRR11494703		B.3	3/10/2020	Australia
SRR11597115		B	2/2/2020	China
SRR11597116		B	2/10/2020	China
SRR11597120		A	2/2/2020	China
SRR11597129		B	2/2/2020	China
SRR11597160		B	1/30/2020	China
SRR11597169		B	2/5/2020	China
SRR11597174		B	2/4/2020	China
SRR11597175		B	2/4/2020	China
SRR11597177		A	1/30/2020	China
SRR11597183		B	1/30/2020	China
SRR11597189		A	2/1/2020	China
SRR11597192		A	1/30/2020	China
SRR11597194		B	2/1/2020	China
SRR11597197		A	1/30/2020	China
SRR11597200		B.4	1/30/2020	China
SRR11597210		B	2/12/2020	China
SRR11597215		B	2/2/2020	China
SRR11704810		B.1	4/1/2020	USA
SRR11783578		A	3/5/2020	USA
SRR11783589		A	3/8/2020	USA
SRR11783592		A	3/8/2020	USA
SRR11783595		A	3/8/2020	USA
SRR11783603		A	3/6/2020	USA
SRR11783604		A	3/6/2020	USA
SRR11783608		A	3/6/2020	USA
SRR11783620		A	3/10/2020	USA
SRR11783621		A	3/10/2020	USA
SRR11826847		B.4.6	3/2/2020	Australia
SRR11826874		B.1.1	3/12/2020	Australia
SRR11826897		B	3/8/2020	Australia
SRR11826898		B.4.6	3/8/2020	Australia
SRR11826917		B.4	3/6/2020	Australia
SRR11826983		B.4	3/5/2020	Australia
SRR11915762		B.1.338	5/9/2020	Australia
SRR11915766		B.1.338	5/9/2020	Australia
SRR11915768		B.1.338	5/9/2020	Australia
SRR11915781		B.1.338	5/10/2020	Australia
SRR11915786		B.1.338	5/5/2020	Australia
SRR11915839		B.1.338	5/2/2020	Australia
SRR11915917		B.4	5/5/2020	Australia
SRR11915984		B.1.338	5/9/2020	Australia
SRR11915990		B.1.338	5/10/2020	Australia
SRR11916002		B.1.338	5/2/2020	Australia
SRR12109424		B.1	6/4/2020	South Africa
SRR12109438		B.1	6/1/2020	South Africa
SRR12109444		B.1.1	6/1/2020	South Africa
SRR12109452		B.1.1.117	5/30/2020	South Africa
SRR12109453		B.1.1.386	5/30/2020	South Africa
SRR12109456		B.1	5/30/2020	South Africa
SRR12151794		B.1.1.117	6/11/2020	South Africa
SRR12151797		B.1	6/11/2020	South Africa
SRR12151801		B.1.1.117	6/11/2020	South Africa
SRR12151819		B.1.1.273	6/5/2020	South Africa
SRR12161758		B.1.595	4/6/2020	USA
SRR12161777		B.1	4/6/2020	USA
SRR12161784		B.1	4/6/2020	USA
SRR12161787		B.1.595	4/4/2020	USA
SRR12161788		B.1	4/6/2020	USA
SRR12161792		B.1	4/7/2020	USA
SRR12161794		B.1	4/6/2020	USA
SRR12161807		B.1	4/8/2020	USA
SRR12161831		B.1.595	4/3/2020	USA
SRR12162152		D.2	5/30/2020	Australia
SRR12162154		B.1.1	5/30/2020	Australia
SRR12162259		B.1.1.136	6/12/2020	Australia
SRR12162265		D.2	6/13/2020	Australia
SRR12162325		D.2	6/13/2020	Australia
SRR12162336		B.1.1.1	6/12/2020	Australia
SRR12162357		B.1.1.1	6/7/2020	Australia
SRR12162374		B.1.1.1	6/1/2020	Australia
SRR12162383		B.1.36	5/30/2020	Australia
SRR12338225		B.1.1.117	7/1/2020	South Africa
SRR12338253		B.1.140	7/2/2020	South Africa
SRR12338259		B.1.1.448	7/2/2020	South Africa
SRR12338393		C.2	7/12/2020	South Africa
SRR12348049		B.1.245	5/4/2020	USA
SRR12348058		B.1.320	5/1/2020	USA
SRR12348066		B.1.405	4/30/2020	USA
SRR12348116		B.1	5/13/2020	USA
SRR12348121		B.1.243	5/12/2020	USA
SRR12348125		B.1	5/10/2020	USA
SRR12348127		B.1	5/11/2020	USA
SRR12348143		B.1.241	5/5/2020	USA
SRR12348144		B.1	5/4/2020	USA
SRR12348149		B.1.243	4/10/2020	USA
SRR12348151		B.1.1	4/9/2020	USA
SRR12348153		B.1	4/2/2020	USA
SRR12348179		B.1	4/11/2020	USA
SRR12348204		B.6	3/12/2020	USA
SRR12348213		B.1	3/30/2020	USA
SRR12348227		B.1.243	3/30/2020	USA
SRR12348235		B.1	4/5/2020	USA
SRR12348240		B.1.267	4/6/2020	USA
SRR12348250		B.1	4/10/2020	USA
SRR12348260		B.1	4/11/2020	USA
SRR12348265		B.1	4/5/2020	USA
SRR12348291		B.1	4/4/2020	USA
SRR12348298		B.1	4/4/2020	USA
SRR12348307		B.1.595	4/2/2020	USA
SRR12348338		B.1	4/1/2020	USA
SRR12348423		B.1	4/2/2020	USA
SRR12348438		B.1.595	4/2/2020	USA
SRR12348440		B.1.595	4/2/2020	USA
SRR12348442		B.1	4/2/2020	USA
SRR12348449		B.1	4/6/2020	USA
SRR12348469		B.1.1.285	5/6/2020	USA
SRR12348472		B.1	5/4/2020	USA
SRR12348489		B.1	3/30/2020	USA
SRR12348757		B.1.166	5/7/2020	USA
SRR12348786		B.1.243	5/2/2020	USA
SRR12348790		B.1.241	5/11/2020	USA
SRR12348795		B.1.243	5/1/2020	USA
SRR12348797		B.1.241	5/1/2020	USA
SRR12348803		B.1	4/30/2020	USA
SRR12348818		B.1	5/5/2020	USA
SRR12348829		B.1.166	5/6/2020	USA
SRR12348831		B.1	5/5/2020	USA
SRR12348863		B.1.552	4/2/2020	USA
SRR12348865		B.1	4/2/2020	USA
SRR12348867		B.1	4/2/2020	USA
SRR12348922		B.1	3/30/2020	USA
SRR12348933		B.1	3/30/2020	USA
SRR12348998		B.1	4/9/2020	USA
SRR12349047		B.1	3/30/2020	USA
SRR12349053		B.1.320	5/1/2020	USA
SRR12349073		B.1	5/1/2020	USA
SRR12349085		B.1	4/1/2020	USA
SRR12349135		B.1	4/1/2020	USA
SRR12349144		B.1.241	5/13/2020	USA
SRR12349146		B.1.243	5/11/2020	USA
SRR12349160		B.1.320	5/1/2020	USA
SRR12349174		B.1.552	4/2/2020	USA
SRR12349183		B.1	4/1/2020	USA
SRR12349185		B.1	4/1/2020	USA
SRR12349223		B.1	5/8/2020	USA
SRR12351636		B.1.508	5/13/2020	USA
SRR12351663		B.1.8	5/4/2020	USA
SRR12351674		B.1.8	4/30/2020	USA
SRR12351708		B.1	5/12/2020	USA
SRR12351711		B.1.2	6/5/2020	USA
SRR12351717		B.1	5/8/2020	USA
SRR12351727		B.1.1	5/1/2020	USA
SRR12351729		B.1.1.132	5/1/2020	USA
SRR12351730		B.1.1.132	5/1/2020	USA
SRR12351731		B.1	4/30/2020	USA
SRR12351735		B.1.1	4/30/2020	USA
SRR12351738		B.1.1	4/30/2020	USA
SRR12351740		B.1.1	4/30/2020	USA
SRR12351741		B.1.1	4/30/2020	USA
SRR12351743		B.1.1.161	4/30/2020	USA
SRR12379501		B.1	4/13/2020	USA
SRR12379523		B.1	3/30/2020	USA
SRR12379530		B.1	3/30/2020	USA
SRR12379535		B.1.1.1	4/1/2020	USA
SRR12379538		B.1	4/1/2020	USA
SRR12379539		B.1	4/1/2020	USA
SRR12379543		B.1	4/1/2020	USA
SRR12379548		B.1	3/30/2020	USA
SRR12379549		B.1	3/30/2020	USA
SRR12379550		B.1	4/12/2020	USA
SRR12379552		B.1.369	4/13/2020	USA
SRR12379566		B.1	4/13/2020	USA
SRR12379569		B.1	4/13/2020	USA
SRR12379575		B.1	4/10/2020	USA
SRR12379613		B.1	4/30/2020	USA
SRR12379614		B.1	4/30/2020	USA
SRR12379629		B.1	4/9/2020	USA
SRR12379630		B.1	4/8/2020	USA
SRR12379634		B.1	4/9/2020	USA
SRR12379666		B.1	4/1/2020	USA
SRR12379668		B.1	5/8/2020	USA
